season,fetched_at,abbreviation,reg_season_wins,over_wins_odds,under_wins_odds,make_playoffs_odds,miss_playoffs_odds,win_conference_odds,win_finals_odds,source
2021-22,2021-10-17T17:00:00-07:00,ATL,46.5,,,-500,380,1500,3500,DraftKings
2021-22,2021-10-17T17:00:00-07:00,BOS,46.5,,,-500,380,1800,4000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,BKN,56.5,,,-20000,4000,100,205,DraftKings
2021-22,2021-10-17T17:00:00-07:00,CHA,38.5,,,175,-215,8000,18000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,CHI,42.5,,,-185,150,2800,6000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,CLE,27.5,,,2000,-8000,30000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,DAL,48.5,,,-650,450,1300,2800,DraftKings
2021-22,2021-10-17T17:00:00-07:00,DEN,47.5,,,-650,450,900,2000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,DET,25.5,,,2000,-8000,30000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,GSW,47.5,,,-600,425,550,1100,DraftKings
2021-22,2021-10-17T17:00:00-07:00,HOU,27.5,,,1600,-6000,35000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,IND,42.5,,,-175,145,4000,10000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,LAC,45.5,,,-285,225,650,1700,DraftKings
2021-22,2021-10-17T17:00:00-07:00,LAL,52.5,,,-3500,1300,195,400,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MEM,41.5,,,110,-140,5000,10000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MIA,48.5,,,-1000,650,900,2500,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MIL,54.5,,,-8000,2000,390,900,DraftKings
2021-22,2021-10-17T17:00:00-07:00,MIN,35.5,,,600,-800,13000,25000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,NOP,39.5,,,170,-245,6000,11000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,NYK,41.5,,,-150,125,4000,10000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,OKC,23.5,,,2200,-10000,35000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,ORL,22.5,,,2200,-10000,30000,100000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,PHI,50.5,,,-2000,1000,750,2000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,PHX,51.5,,,-3500,1300,650,1700,DraftKings
2021-22,2021-10-17T17:00:00-07:00,POR,44.5,,,-250,200,3500,8000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,SAS,28.5,,,1000,-3000,18000,35000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,SAC,36.5,,,380,-500,13000,25000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,TOR,35.5,,,280,-360,10000,25000,DraftKings
2021-22,2021-10-17T17:00:00-07:00,UTA,51.5,,,-5000,1500,700,1500,DraftKings
2021-22,2021-10-17T17:00:00-07:00,WAS,33.5,,,500,-700,10000,25000,DraftKings
2022-23,2022-10-24T17:00:00-07:00,ATL,45.5,-100,-100,-242,242,2315,6035,DraftKings
2022-23,2022-10-24T17:00:00-07:00,BOS,54.5,-100,-100,-1667,1667,326,740,DraftKings
2022-23,2022-10-24T17:00:00-07:00,BKN,50.5,-114,114,-794,794,406,860,DraftKings
2022-23,2022-10-24T17:00:00-07:00,CHA,34.5,109,-109,450,-450,13789,30203,DraftKings
2022-23,2022-10-24T17:00:00-07:00,CHI,41.5,114,-114,-109,109,4617,10770,DraftKings
2022-23,2022-10-24T17:00:00-07:00,CLE,47.5,-100,-100,-320,320,1510,3617,DraftKings
2022-23,2022-10-24T17:00:00-07:00,DAL,48.5,-114,114,-477,477,1166,2662,DraftKings
2022-23,2022-10-24T17:00:00-07:00,DEN,50.5,-100,-100,-503,503,993,2178,DraftKings
2022-23,2022-10-24T17:00:00-07:00,DET,28.5,-104,104,1153,-1153,28471,83233,DraftKings
2022-23,2022-10-24T17:00:00-07:00,GSW,52.5,114,-114,-947,947,371,740,DraftKings
2022-23,2022-10-24T17:00:00-07:00,HOU,23.5,114,-114,2574,-2574,111011,124900,DraftKings
2022-23,2022-10-24T17:00:00-07:00,IND,22.5,-114,114,2574,-2574,71329,124900,DraftKings
2022-23,2022-10-24T17:00:00-07:00,LAC,52.5,-109,109,-1000,1000,371,740,DraftKings
2022-23,2022-10-24T17:00:00-07:00,LAL,41.5,104,-104,109,-109,1970,4210,DraftKings
2022-23,2022-10-24T17:00:00-07:00,MEM,49.5,-104,104,-529,529,1108,2419,DraftKings
2022-23,2022-10-24T17:00:00-07:00,MIA,47.5,109,-109,-320,320,1108,2662,DraftKings
2022-23,2022-10-24T17:00:00-07:00,MIL,52.5,-114,114,-1356,1356,418,919,DraftKings
2022-23,2022-10-24T17:00:00-07:00,MIN,47.5,-114,114,-305,305,1857,4210,DraftKings
2022-23,2022-10-24T17:00:00-07:00,NOP,46.5,104,-104,-267,267,1624,3617,DraftKings
2022-23,2022-10-24T17:00:00-07:00,NYK,38.5,-114,114,178,-178,9246,24290,DraftKings
2022-23,2022-10-24T17:00:00-07:00,OKC,23.5,119,-119,2574,-2574,71329,124900,DraftKings
2022-23,2022-10-24T17:00:00-07:00,ORL,26.5,109,-109,1356,-1356,71329,124900,DraftKings
2022-23,2022-10-24T17:00:00-07:00,PHI,49.5,119,-119,-450,450,993,1941,DraftKings
2022-23,2022-10-24T17:00:00-07:00,PHX,51.5,-119,119,-738,738,647,1460,DraftKings
2022-23,2022-10-24T17:00:00-07:00,POR,41.5,-119,119,-119,119,4617,9609,DraftKings
2022-23,2022-10-24T17:00:00-07:00,SAC,33.5,114,-114,630,-630,34383,83233,DraftKings
2022-23,2022-10-24T17:00:00-07:00,SAS,23.5,-100,-100,2270,-2270,71329,124900,DraftKings
2022-23,2022-10-24T17:00:00-07:00,TOR,45.5,-100,-100,-226,226,2088,5425,DraftKings
2022-23,2022-10-24T17:00:00-07:00,UTA,28.5,-109,109,1268,-1268,28471,83233,DraftKings
2022-23,2022-10-24T17:00:00-07:00,WAS,36.5,-104,104,257,-257,17141,47519,DraftKings
2023-24,2023-10-20T17:00:00-07:00,ATL,41.5,-100,-100,-148,148,5680,13789,DraftKings
2023-24,2023-10-20T17:00:00-07:00,BOS,55.5,104,-104,-2588,2588,206,415,DraftKings
2023-24,2023-10-20T17:00:00-07:00,BKN,35.5,-100,-100,192,-192,6942,18082,DraftKings
2023-24,2023-10-20T17:00:00-07:00,CHA,29.5,116,-116,419,-419,24290,71329,DraftKings
2023-24,2023-10-20T17:00:00-07:00,CHI,36.5,-117,117,147,-147,6942,18082,DraftKings
2023-24,2023-10-20T17:00:00-07:00,CLE,48.5,110,-110,-642,642,1053,3384,DraftKings
2023-24,2023-10-20T17:00:00-07:00,DAL,45.5,110,-110,-161,161,1455,4084,DraftKings
2023-24,2023-10-20T17:00:00-07:00,DEN,54.5,-100,-100,-1129,1129,343,597,DraftKings
2023-24,2023-10-20T17:00:00-07:00,DET,28.5,-110,110,962,-962,20733,71329,DraftKings
2023-24,2023-10-20T17:00:00-07:00,GSW,47.5,-118,118,-308,308,857,1992,DraftKings
2023-24,2023-10-20T17:00:00-07:00,HOU,30.5,110,-110,852,-852,34383,71329,DraftKings
2023-24,2023-10-20T17:00:00-07:00,IND,38.5,-100,-100,106,-106,7534,35614,DraftKings
2023-24,2023-10-20T17:00:00-07:00,LAC,45.5,113,-113,-302,302,857,1712,DraftKings
2023-24,2023-10-20T17:00:00-07:00,LAL,45.5,117,-117,-239,239,1096,2127,DraftKings
2023-24,2023-10-20T17:00:00-07:00,MEM,41.5,-110,110,127,-127,2055,4778,DraftKings
2023-24,2023-10-20T17:00:00-07:00,MIA,43.5,110,-110,-239,239,1516,4925,DraftKings
2023-24,2023-10-20T17:00:00-07:00,MIL,52.5,118,-118,-1578,1578,212,471,DraftKings
2023-24,2023-10-20T17:00:00-07:00,MIN,44.5,-110,110,-148,148,3015,8991,DraftKings
2023-24,2023-10-20T17:00:00-07:00,NOP,44.5,110,-110,-169,169,2173,6436,DraftKings
2023-24,2023-10-20T17:00:00-07:00,NYK,44.5,-110,110,-239,239,2438,6310,DraftKings
2023-24,2023-10-20T17:00:00-07:00,OKC,45.5,110,-110,-217,217,3372,9609,DraftKings
2023-24,2023-10-20T17:00:00-07:00,ORL,37.5,-110,110,133,-133,11011,71329,DraftKings
2023-24,2023-10-20T17:00:00-07:00,PHI,48.5,-113,113,-461,461,1285,3806,DraftKings
2023-24,2023-10-20T17:00:00-07:00,PHX,49.5,120,-120,-728,728,355,736,DraftKings
2023-24,2023-10-20T17:00:00-07:00,POR,24.5,-110,110,1578,-1578,58724,71329,DraftKings
2023-24,2023-10-20T17:00:00-07:00,SAC,43.5,115,-115,-144,144,3015,8991,DraftKings
2023-24,2023-10-20T17:00:00-07:00,SAS,27.5,-110,110,953,-953,58724,71329,DraftKings
2023-24,2023-10-20T17:00:00-07:00,TOR,35.5,110,-110,218,-218,7534,18082,DraftKings
2023-24,2023-10-20T17:00:00-07:00,UTA,33.5,-127,127,356,-356,13233,71329,DraftKings
2023-24,2023-10-20T17:00:00-07:00,WAS,24.5,127,-127,1783,-1783,58724,71329,DraftKings
2024-25,2023-10-21T17:00:00-07:00,ATL,36.5,,,170,-210,16000,60000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,BOS,58.5,,,-10000,2500,155,310,FanDuel
2024-25,2023-10-21T17:00:00-07:00,BKN,19.5,,,3000,-20000,60000,100000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,CHA,30.5,,,600,-900,50000,100000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,CHI,28.5,,,700,-1200,25000,100000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,CLE,48.5,,,-900,600,2200,6000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,DAL,49.5,,,-525,380,475,1000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,DEN,50.5,,,-750,500,475,950,FanDuel
2024-25,2023-10-21T17:00:00-07:00,DET,25.5,,,1000,-2000,60000,100000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,GSW,43.5,,,-115,-105,2000,3500,FanDuel
2024-25,2023-10-21T17:00:00-07:00,HOU,43.5,,,-110,-110,6500,15000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,IND,46.5,,,-700,475,2500,6000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,LAC,35.5,,,390,-550,4000,8000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,LAL,43.5,,,-105,-115,1600,3000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,MEM,47.5,,,-245,195,1600,4000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,MIA,44.5,,,-500,360,2000,4500,FanDuel
2024-25,2023-10-21T17:00:00-07:00,MIL,50.5,,,-1600,850,600,1400,FanDuel
2024-25,2023-10-21T17:00:00-07:00,MIN,52.5,,,-900,600,500,1000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,NOP,46.5,,,-170,140,2200,5500,FanDuel
2024-25,2023-10-21T17:00:00-07:00,NYK,54.5,,,-5000,1800,400,800,FanDuel
2024-25,2023-10-21T17:00:00-07:00,OKC,56.5,,,-4000,1400,310,650,FanDuel
2024-25,2023-10-21T17:00:00-07:00,ORL,47.5,,,-900,600,2500,6500,FanDuel
2024-25,2023-10-21T17:00:00-07:00,PHI,50.5,,,-1600,850,450,1000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,PHX,47.5,,,-265,210,1200,3000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,POR,22.5,,,3000,-20000,60000,100000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,SAC,46.5,,,-170,140,2800,7500,FanDuel
2024-25,2023-10-21T17:00:00-07:00,SAS,36.5,,,350,-475,8000,15000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,TOR,29.5,,,600,-900,30000,100000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,UTA,28.5,,,2000,-8000,60000,100000,FanDuel
2024-25,2023-10-21T17:00:00-07:00,WAS,20.5,,,2500,-10000,60000,100000,FanDuel
2025-26,2025-09-13T20:04:00-07:00,ATL,47.5,108,-108,-446,446,1049,3211,FanDuel
2025-26,2025-09-13T20:04:00-07:00,BOS,40.5,-104,104,-137,137,2199,7094,FanDuel
2025-26,2025-09-13T20:04:00-07:00,BKN,20.5,110,-110,4084,-4084,58724,124900,FanDuel
2025-26,2025-09-13T20:04:00-07:00,CHA,26.5,-104,104,1074,-1074,58724,124900,FanDuel
2025-26,2025-09-13T20:04:00-07:00,CHI,32.5,108,-108,403,-403,14393,47519,FanDuel
2025-26,2025-09-13T20:04:00-07:00,CLE,56.5,102,-102,-3095,3095,279,847,FanDuel
2025-26,2025-09-13T20:04:00-07:00,DAL,41.5,110,-110,108,-108,2850,4754,FanDuel
2025-26,2025-09-13T20:04:00-07:00,DEN,53.5,-100,-100,-987,987,637,1083,FanDuel
2025-26,2025-09-13T20:04:00-07:00,DET,46.5,110,-110,-381,381,1279,4155,FanDuel
2025-26,2025-09-13T20:04:00-07:00,GSW,45.5,104,-104,-208,208,2055,3563,FanDuel
2025-26,2025-09-13T20:04:00-07:00,HOU,55.5,-104,104,-1337,1337,694,1202,FanDuel
2025-26,2025-09-13T20:04:00-07:00,IND,37.5,108,-108,146,-146,3115,11805,FanDuel
2025-26,2025-09-13T20:04:00-07:00,LAC,47.5,104,-104,-296,296,1261,2270,FanDuel
2025-26,2025-09-13T20:04:00-07:00,LAL,49.5,108,-108,-435,435,1090,1794,FanDuel
2025-26,2025-09-13T20:04:00-07:00,MEM,40.5,106,-106,140,-140,7965,14825,FanDuel
2025-26,2025-09-13T20:04:00-07:00,MIA,39.5,106,-106,104,-104,4032,14825,FanDuel
2025-26,2025-09-13T20:04:00-07:00,MIL,42.5,-100,-100,-193,193,1970,6523,FanDuel
2025-26,2025-09-13T20:04:00-07:00,MIN,49.5,108,-108,-403,403,1373,2625,FanDuel
2025-26,2025-09-13T20:04:00-07:00,NOP,29.5,104,-104,948,-948,34383,90809,FanDuel
2025-26,2025-09-13T20:04:00-07:00,NYK,52.5,-104,104,-1274,1274,383,1142,FanDuel
2025-26,2025-09-13T20:04:00-07:00,OKC,62.5,-100,-100,-7146,7146,166,267,FanDuel
2025-26,2025-09-13T20:04:00-07:00,ORL,50.5,-100,-100,-861,861,647,2147,FanDuel
2025-26,2025-09-13T20:04:00-07:00,PHI,42.5,106,-106,-177,177,1624,4754,FanDuel
2025-26,2025-09-13T20:04:00-07:00,PHX,31.5,-104,104,692,-692,28471,58724,FanDuel
2025-26,2025-09-13T20:04:00-07:00,POR,34.5,108,-108,446,-446,28471,83233,FanDuel
2025-26,2025-09-13T20:04:00-07:00,SAC,34.5,-100,-100,425,-425,22627,47519,FanDuel
2025-26,2025-09-13T20:04:00-07:00,SAS,44.5,104,-104,-159,159,3409,6523,FanDuel
2025-26,2025-09-13T20:04:00-07:00,TOR,38.5,-104,104,114,-114,5191,23710,FanDuel
2025-26,2025-09-13T20:04:00-07:00,UTA,18.5,-104,104,7146,-7146,55456,124900,FanDuel
2025-26,2025-09-13T20:04:00-07:00,WAS,21.5,104,-104,2595,-2595,58724,124900,FanDuel
2025-26,2025-10-21T16:30:00-07:00,ATL,46.5,-115,-105,-650,475,900,2500,BetMGM
2025-26,2025-10-21T16:30:00-07:00,BOS,41.5,-110,-110,-165,140,2200,5500,BetMGM
2025-26,2025-10-21T16:30:00-07:00,BKN,19.5,-110,-110,3500,-10000,50000,100000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,CHA,27.5,-115,-105,625,-1000,25000,100000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,CHI,33.5,-120,100,400,-550,25000,50000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,CLE,56.5,-115,-105,-10000,2200,220,750,BetMGM
2025-26,2025-10-21T16:30:00-07:00,DAL,41.5,-125,105,-110,-110,2500,3500,BetMGM
2025-26,2025-10-21T16:30:00-07:00,DEN,53.5,-125,105,-5000,1600,375,750,BetMGM
2025-26,2025-10-21T16:30:00-07:00,DET,46.5,105,-125,-375,300,1200,4500,BetMGM
2025-26,2025-10-21T16:30:00-07:00,GSW,47.5,-110,-110,-325,260,1800,2800,BetMGM
2025-26,2025-10-21T16:30:00-07:00,HOU,52.5,100,-120,-1600,900,900,750,BetMGM
2025-26,2025-10-21T16:30:00-07:00,IND,37.5,100,-120,125,-150,3000,8000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,LAC,49.5,-105,-115,-450,350,1000,1800,BetMGM
2025-26,2025-10-21T16:30:00-07:00,LAL,46.5,-120,100,-350,275,900,1800,BetMGM
2025-26,2025-10-21T16:30:00-07:00,MEM,39.5,-125,105,145,-175,8000,10000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,MIA,37.5,-120,100,125,-150,4500,12500,BetMGM
2025-26,2025-10-21T16:30:00-07:00,MIL,43.5,-110,-110,-210,170,1800,5500,BetMGM
2025-26,2025-10-21T16:30:00-07:00,MIN,49.5,-110,-110,-1000,650,700,1700,BetMGM
2025-26,2025-10-21T16:30:00-07:00,NOP,30.5,-120,100,550,-800,15000,30000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,NYK,53.5,-105,-115,-5000,1600,250,750,BetMGM
2025-26,2025-10-21T16:30:00-07:00,OKC,62.5,-110,-110,-10000,4000,170,275,BetMGM
2025-26,2025-10-21T16:30:00-07:00,ORL,51.5,-115,-105,-2500,1100,550,1700,BetMGM
2025-26,2025-10-21T16:30:00-07:00,PHI,43.5,-105,-115,-250,200,1500,4000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,PHX,30.5,-120,100,650,-1000,25000,50000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,POR,35.5,-110,-110,350,-450,20000,50000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,SAC,32.5,-110,-110,425,-600,30000,50000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,SAS,44.5,-110,-110,-175,145,3300,6600,BetMGM
2025-26,2025-10-21T16:30:00-07:00,TOR,39.5,-110,-110,110,-135,5000,12500,BetMGM
2025-26,2025-10-21T16:30:00-07:00,UTA,18.5,-135,110,3500,-10000,50000,100000,BetMGM
2025-26,2025-10-21T16:30:00-07:00,WAS,20.5,-110,-110,1600,-10000,50000,100000,BetMGM
